,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
490,2025-04-01,32 - 5,1900-01-01 11:11:00,1900-01-01 11:38:40,Régulier,LULI00,37,Genève-Tours,2025-04-01 11:11:00,2025-04-01 11:11:00,37 - 5,0.0
810,2025-04-01,48 - 1,1900-01-01 11:16:20,1900-01-01 11:30:20,Régulier,LULY00,47,ODIER,2025-04-01 11:16:20,2025-04-01 11:16:00,47 - 1,0.0
211,2025-04-01,33 - 12,1900-01-01 11:23:40,1900-01-01 11:45:00,Régulier,PRSM00,31,Genève-Tours,2025-04-01 11:23:40,2025-04-01 11:23:00,31 - 12,0.0
169,2025-04-01,32 - 6,1900-01-01 11:27:40,1900-01-01 11:47:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 11:27:40,2025-04-01 11:27:00,31 - 6,0.0
762,2025-04-01,48 - 3,1900-01-01 11:28:40,1900-01-01 11:43:20,Régulier,CRCO05,47,ODIER,2025-04-01 11:28:40,2025-04-01 11:28:00,47 - 3,0.0
386,2025-04-01,37 - 24,1900-01-01 11:31:40,1900-01-01 11:57:40,Régulier,RIVE04,33,Genève-Tours,2025-04-01 11:31:40,2025-04-01 11:31:00,33 - 24,0.0
811,2025-04-01,48 - 7,1900-01-01 11:34:00,1900-01-01 11:48:00,Régulier,LULY00,47,ODIER,2025-04-01 11:34:00,2025-04-01 11:34:00,47 - 7,0.0
531,2025-04-01,32 - 4,1900-01-01 11:35:00,1900-01-01 12:01:20,Régulier,PRSM05,37,Genève-Tours,2025-04-01 11:35:00,2025-04-01 11:35:00,37 - 4,0.0
1919,2025-04-01,L - 6,1900-01-01 11:35:00,1900-01-01 11:52:00,Régulier,SYGA00,70,ODIER,2025-04-01 11:35:00,2025-04-01 11:35:00,70 - 6,0.0
1880,2025-04-01,L - 2,1900-01-01 11:37:00,1900-01-01 11:55:00,Régulier,CRCO05,70,ODIER,2025-04-01 11:37:00,2025-04-01 11:37:00,70 - 2,0.0
491,2025-04-01,32 - 2,1900-01-01 11:41:00,1900-01-01 12:08:40,Régulier,LULI00,37,Genève-Tours,2025-04-01 11:41:00,2025-04-01 11:41:00,37 - 2,0.0
212,2025-04-01,32 - 5,1900-01-01 11:54:40,1900-01-01 12:16:00,Régulier,PRSM00,31,Genève-Tours,2025-04-01 11:54:40,2025-04-01 11:54:00,31 - 5,0.0
812,2025-04-01,48 - 3,1900-01-01 11:55:20,1900-01-01 12:09:20,Régulier,LULY00,47,ODIER,2025-04-01 11:55:20,2025-04-01 11:55:00,47 - 3,0.0
