DateCourse;Numéro -Voit;sched_start;sched_end;Type;CodeLong;Ligne;Category
2025-06-26;60 - 12;1900-01-01 08:09:00;1900-01-01 08:53:40;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 13;1900-01-01 08:00:20;1900-01-01 08:27:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 4;1900-01-01 07:55:00;1900-01-01 08:47:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 11;1900-01-01 07:47:20;1900-01-01 08:14:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 3;1900-01-01 07:40:40;1900-01-01 08:33:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 10;1900-01-01 07:33:20;1900-01-01 08:00:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 9;1900-01-01 07:28:00;1900-01-01 08:19:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 8;1900-01-01 07:21:20;1900-01-01 07:46:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 2;1900-01-01 07:14:20;1900-01-01 08:04:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 1;1900-01-01 07:00:00;1900-01-01 07:49:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 7;1900-01-01 06:45:00;1900-01-01 07:36:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 6;1900-01-01 06:30:00;1900-01-01 07:20:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 5;1900-01-01 06:15:00;1900-01-01 07:04:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 4;1900-01-01 06:00:00;1900-01-01 06:49:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 3;1900-01-01 05:40:00;1900-01-01 06:28:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 2;1900-01-01 05:20:00;1900-01-01 06:07:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 1;1900-01-01 05:00:00;1900-01-01 05:47:40;Régulier;CVIN03;60;Rdta
2025-06-27;60 - 54;1900-01-01 23:44:00;;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 51;1900-01-01 23:14:00;1900-01-01 23:59:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 53;1900-01-01 22:44:00;1900-01-01 23:30:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 52;1900-01-01 22:14:00;1900-01-01 23:01:40;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 48;1900-01-01 21:43:00;1900-01-01 22:31:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 51;1900-01-01 21:13:00;1900-01-01 22:02:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 47;1900-01-01 20:41:40;1900-01-01 21:31:40;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 50;1900-01-01 20:16:40;1900-01-01 21:07:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 44;1900-01-01 19:50:40;1900-01-01 20:39:00;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 48;1900-01-01 19:27:20;1900-01-01 20:16:40;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 43;1900-01-01 19:03:20;1900-01-01 19:53:40;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 41;1900-01-01 18:52:00;1900-01-01 19:36:20;Régulier;GXAI01;61;Rdta
2025-06-27;60 - 47;1900-01-01 18:30:20;1900-01-01 19:22:00;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 39;1900-01-01 18:22:00;1900-01-01 19:07:20;Régulier;GXAI01;61;Rdta
2025-06-27;60 - 38;1900-01-01 18:04:20;1900-01-01 18:57:00;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 46;1900-01-01 17:46:40;1900-01-01 18:40:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 45;1900-01-01 17:39:20;1900-01-01 18:27:20;Régulier;GXAI01;61;Rdta
2025-06-27;60 - 44;1900-01-01 17:21:00;1900-01-01 18:17:00;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 35;1900-01-01 17:08:20;1900-01-01 18:04:20;Régulier;GXAI01;60;Rdta
2025-06-27;60 - 43;1900-01-01 16:54:40;1900-01-01 17:50:40;Régulier;GXAI01;60;Rdta
